(Takeshi) Ciao. Sono Takeshi Kimura. | Konnichiwa. Kimura Takeshi desu. | こんにちは。 きむら たけし です。 | L1 - Nuovi Amici
(Mary) Sono Mary Hart. Ehm... sei uno studente internazionale? | Mearii Haato desu. Anoo, ryuugakusee desu ka. | メアリー・ハートです。あのう、りゅうがくせいですか。 | L1 - Nuovi Amici
(Takeshi) No, sono giapponese. | Iie, nihonjin desu. | いいえ、にほんじんです。 | L1 - Nuovi Amici
(Mary) Capisco. Di che anno sei? | Soo desu ka. Nannensee desu ka. | そうですか。なんねんせいですか。 | L1 - Nuovi Amici
(Takeshi) Sono al quarto anno. | Yonensee desu. | よねんせいです。 | L1 - Nuovi Amici
(Mary) Piacere. Sono Mary Hart. | Hajimemashite. Mearii Haato desu. | はじめまして。 メアリー・ハートです。 | L1 - Presentazione
(Mary) Sono una studentessa dell'Università dell'Arizona. Sono al secondo anno. | Arizona daigaku no gakusee desu. Ninensee desu. | アリゾナだいがくの がくせいです。 にねんせいです。 | L1 - Presentazione
(Mary) La mia specializzazione è il giapponese. Ho diciannove anni. | Senkoo wa nihongo desu. Juukyuusai desu. | せんこうは にほんごです。 じゅうきゅうさいです。 | L1 - Presentazione
(Mary) Piacere di conoscervi. | Yoroshiku onegai shimasu. | よろしく おねがいします。 | L1 - Presentazione
(Mary) Mi scusi. Quanto costa questo? | Sumimasen. Kore wa ikura desu ka. | すみません。 これは いくらですか。 | L2 - Shopping
(Commesso) Quello costa tremila yen. | Sore wa sanzen en desu. | それは さんぜんえんです。 | L2 - Shopping
(Mary) È costoso. Allora, quell'orologio quanto costa? | Takai desu ne. Jaa, ano tokee wa ikura desu ka. | たかいですね。 じゃあ、 あのとけいは いくらですか。 | L2 - Shopping
(Commesso) Quello costa tremilacinquecento yen. | Are wa sanzengohyaku en desu. | あれは さんぜんごひゃくえんです。 | L2 - Shopping
(Mary) Capisco. Anche quello è costoso. | Soo desu ka. Are mo takai desu ne. | そうですか。 あれも たかいですね。 | L2 - Shopping
(Commesso) Questo costa milleottocento yen. | Kore wa senhappyaku en desu yo. | これは せんはっぴゃくえんですよ。 | L2 - Shopping
(Mary) Allora, mi dia quell'orologio. | Jaa, sono tokee o kudasai. | じゃあ、 そのとけいを ください。 | L2 - Shopping
(Sconosciuto) Di chi è questo portafoglio? | Kore wa dare no saifu desu ka. | これは だれの さいふですか。 | L2 - Shopping
(Mary) È il mio portafoglio. | Watashi no saifu desu. | わたしの さいふです。 | L2 - Shopping
(Mary) Grazie mille. | Arigatoo gozaimasu. | ありがとう ございます。 | L2 - Shopping
(Commesso) Benvenuti. Ecco il menu. | Irasshaimase. Menyuu o doozo. | いらっしゃいませ。 メニューを どうぞ。 | L2 - Ristorante
(Mary) Grazie. Cos'è questo? | Doomo. Kore wa nan desu ka. | どうも。 これは なんですか。 | L2 - Ristorante
(Commesso) Quale? Ah, è tonkatsu. | Dore desu ka. Aa, tonkatsu desu. | どれですか。 ああ、 とんかつです。 | L2 - Ristorante
(Mary) Tonkatsu? È pesce? | Tonkatsu? Sakana desu ka. | とんかつ？ さかなですか。 | L2 - Ristorante
(Commesso) No, non è pesce. È carne. È delizioso. | Iie, sakana ja nai desu. Niku desu. Oishii desu yo. | いいえ、 さかなじゃないです。 にくです。 おいしいですよ。 | L2 - Ristorante
(Mary) Allora, prendo questo per favore. | Jaa, kore o onegaishimasu. | じゃあ、 これを おねがいします。 | L2 - Ristorante
(Mary) Mi scusi. Dov'è il bagno? | Sumimasen. Toire wa doko desu ka. | すみません。 トイレは どこですか。 | L2 - Ristorante
(Commesso) È laggiù. | Asoko desu. | あそこです。 | L2 - Ristorante
(Mary) Grazie mille. | Arigatoo gozaimasu. | ありがとう ございます。 | L2 - Ristorante
