Italiano,Inglese,Giapponese,Romaji,Esempi
spalla,shoulder,肩,kata,
Buona sera,Good evening,こんばんは,Konbanwa,
Dove,Where,どこ,Doko,
pagare,To pay,払う,Harau,
sale,Salt,塩,Shio,
prima volta,First time,初めて,Hajimete,
primo,First,最初,Saisho,
buongiorno,goodmorning,おはよう,Ohayoo,
supermercato,Supermarket,スーパー,Sūpā,
zio,uncle,おじさん,ojisan,
metro,Subway,地下鉄,Chikatetsu,
rivista,Magazine,雑誌,Zasshi,
suono,Sound,音,Oto,
sorella maggiore,elder sister,お姉さん,oneesan,
Arrivederci,Bye,さようなら,Sayoonara,
Ciao,Hello,こんにちは,Konnichiwa,
mangiare,To eat,食べる,Taberu,
Io sono,I am,私は,Watashi wa,
vinto,won (to win),勝った,katta,
stare in piedi,To stand,立つ,Tatsu,
telegiornale,TV News,ニュース,Nyūsu,
Sì,Yes,はい,Hai,
scrivania,Desk,机,Tsukue,
Grazie,Thank you,ありがとう,Arigatō,
stazione,Station,駅,Eki,
scrittore,writer,作家,sakka,
luna,Moon,月,Tsuki,
lì,There (far),あそこ,Asoko,
legge,law,法律,hooritsu,
fuori,Outside,外,Soto,
mi scusi,Excuse me,すみません,Sumimasen,
banca,Bank,銀行,Ginkō,
Scusa,Excuse me,すみません,Sumimasen,
No,No,いいえ,Iie,
là,There (far),あそこ,Asoko,
acqua,Water,水,Mizu,
ombrello,Umbrella,傘,Kasa,
qui,Here,ここ,Koko,
bagno,Bathroom,トイレ,Toire,
Quanti anni hai?,How old are you?,あなた は なんさい ですか？,Anata wa nan saidesu ka?,
pane,Bread,パン,Pan,
per favore,Please,お願いします,Onegaishimasu,
mano,Hand,手,Te,
cosa,What,何,Nani,
foglia,leaf,葉っぱ,happa,
prego,You're welcome,どういたしまして,Dōitashimashite,
tre anni,three years,三年,sannen,
nonno,grandfather,おじいさん,ojiisan,
io ho anni,I am years ago,わたし は さい　です。,Watashi wa saidesu,
grazie per il cibo,Thank you for food,いただきます,Itadakimasu,
bere,To drink,飲む,Nomu,
mucca,Cow,牛,Ushi,
capire,To understand,分かる,Wakaru,
guardare,To watch,見る,Miru,
film,movie,映画,eega,
zia,aunt,おばさん,obasan,
leggere,To read,読む,Yomu,
numero,number (digit),数字,suuji,
un po',A little,少し,Sukoshi,
giornale,Newspaper,新聞,Shinbun,
preferito,Favorite,お気に入り,Okiniiri,
guida,guide (guidance),案内,annai,
succo,Juice,ジュース,Jūsu,
nonna,grandmother,おばあさん,obaasan,
uomo,Man,男,Otoko,
Piacere di conoscerti,Nice to meet you,はじめまして,Hajimemashite,
caffè,Coffee,コーヒー,Kōhī,
serie TV,TV Series,ドラマ,Dorama,
numero (cifra),number (digit),数字,suuji,
libro,Book,本,Hon,
ristorante,Restaurant,レストラン,Resutoran,
Hai 40 anni,Are you 40 years old?,あなた は ４０さいですか?,Anata wa 40 saidesu ka,
foto,Photo,写真,Shashin,
università,University,大学,Daigaku,
bocca,Mouth,口,Kuchi,
tamburo,Drum,太鼓,Taiko,
Italiano,Inglese,Giapponese,Romaji,Esempi
0 (Zero),Zero,ゼロ / れい,zero / rei,
1 (Uno),One,いち,ichi,
2 (Due),Two,に,ni,
3 (Tre),Three,さん,san,
4 (Quattro),Four,よん / し,yon / shi,
5 (Cinque),Five,ご,go,
6 (Sei),Six,ろく,roku,
7 (Sette),Seven,なな / しち,nana / shichi,
8 (Otto),Eight,はち,hachi,
9 (Nove),Nine,きゅう / く,kyuu / ku,
10 (Dieci),Ten,じゅう,juu,
11 (Undici),Eleven,じゅういち,juuichi,
12 (Dodici),Twelve,じゅうに,juuni,
13 (Tredici),Thirteen,じゅうさん,juusan,
14 (Quattordici),Fourteen,じゅうよん / じゅうし,juuyon / juushi,
15 (Quindici),Fifteen,じゅうご,juugo,
16 (Sedici),Sixteen,じゅうろく,juuroku,
17 (Diciassette),Seventeen,じゅうなな / じゅうしち,juunana / juushichi,
18 (Diciotto),Eighteen,じゅうはち,juuhachi,
19 (Diciannove),Nineteen,じゅうきゅう / じゅうく,juukyuu / juuku,
20 (Venti),Twenty,にじゅう,nijuu,
30 (Trenta),Thirty,さんじゅう,sanjuu,
40 (Quaranta),Forty,よんじゅう,yonjuu,
50 (Cinquanta),Fifty,ごじゅう,gojuu,
60 (Sessanta),Sixty,ろくじゅう,rokujuu,
70 (Settanta),Seventy,ななじゅう,nanajuu,
80 (Ottanta),Eighty,はちじゅう,hachijuu,
90 (Novanta),Ninety,きゅうじゅう,kyuujuu,
100 (Cento),One hundred,ひゃく,hyaku,

